Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Senior Executive,Chennai,,SCM & Logistics Department,0 Dec 2018,5.0,4.0,4.0,5.0,3.0,4.0,5.0,"Learning ,work life balance,management and employee benefits",Nothing
Deputy Manager- Hr,Noida,,HR Operations Department,4 May 2018,5.0,4.0,4.0,5.0,3.0,4.0,5.0,Career growth and work environment,Nothing any
Logistics Incharge,Ahmedabad,,SCM & Logistics Department,0 Aug 2018,5.0,5.0,4.0,5.0,4.0,4.0,4.0,Company gives its employees excellent job security. Excellent HR policies.,Pay is not great. Work life balance is sometimes neglected.
Engineer Mobile RnD,Noida,,R&D Department,0 Mar 2018,4.0,4.0,4.0,4.0,4.0,4.0,5.0,Overall good,No
Integration Ran Engineer,Navi Mumbai,,Network Development  Department,3 Aug 2018,4.0,3.0,3.0,4.0,5.0,3.0,4.0,,
Senior Software Engineer,Noida,,Software Development Department,1 Feb 2019,3.0,4.0,5.0,4.0,4.0,4.0,5.0,,
,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,
,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,,
"Assistant Manager- Training And Development Operations , CSR Projects",Chennai,Full Time,CS Department,2 Oct 2018,3.0,5.0,3.0,3.0,2.0,2.0,1.0,It's okay,No comments
Assistant Manager Purchase,Noida,Full Time,Purchase Department,5 May 2018,2.0,1.0,1.0,4.0,3.0,1.0,1.0,Brand name,Working culture east india type
Senior Executive,Mohali,Full Time,,9 Feb 2019,4.0,3.0,4.0,3.0,3.0,3.0,3.0,Veey good,Very good
Samsung Team Leader,Delhi NCR,,Area sales manager  Department,2 Feb 2019,5.0,3.0,4.0,3.0,3.0,3.0,3.0,Samsung India Electronics Pvt LTD is the good Company.,Career Growth is Poor.
Senior Executive,Gurgaon,,,8 Aug 2018,5.0,5.0,4.0,5.0,5.0,5.0,5.0,Process oriented company.,All good
Assistant Manager,Noida,,Procurement & Purchase Department,3 Nov 2018,4.0,5.0,4.0,5.0,5.0,5.0,5.0,Excellent,New experience every training
Sales Executive,Patna,,Enterprise & B2B Sales Department,0 May 2018,3.0,3.0,4.0,4.0,5.0,4.0,4.0,No,
Samsung Sellout Manager,Okhla,,Sales & Marketing Department,0 Sep 2022,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,
Technician,Noida,,SMD Department,9 Aug 2018,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,
Sales Promoter,Sumerpur,,Retail & B2C Sales Department,4 Aug 2018,5.0,3.0,4.0,3.0,3.0,3.0,2.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,4.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
Assistant Manager Service Delivery,Visakhapatnam,,Sales Support & Operations Department,8 Jun 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Excellent organization and dream for an every individual to work for such an organisation.....Feeling proud to have such wonderful opportunity for me to be a part of such organization...,No chance of disatisfication of any Samsung Employee....
Senior Telecom Engineer,Chennai,,Telecom Department,7 Dec 2017,4.0,4.0,5.0,5.0,4.0,5.0,4.0,"it is good company to provide the good environment to their employees and provide  opportunities to learn the new technology era, and they support to improve the management skills also.",Not like to share
Associate Engineer Maintenance .,Chennai,,,1 Aug 2019,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Very aggressive.  Good company,No comments
Visual Merchandiser,Ananthapur,,Branding Department,5 Sep 2018,5.0,5.0,5.0,5.0,5.0,5.0,4.0,Good company to learn more,Nothing
Area Sales Manager,Bangalore,,BD / Pre Sales Department,1 Aug 2018,5.0,5.0,5.0,2.0,1.0,3.0,1.0,Trining in deferant sigments and Unity,Many Policies
Senior Executive,Chennai,,,2 Aug 2018,5.0,3.0,4.0,4.0,4.0,4.0,4.0,The Best Part to work in samsung for me is my team..,Follow korean work culture which is not at healthy
Service Executive,Vijayawada,,,5 Mar 2018,5.0,5.0,5.0,4.0,5.0,5.0,5.0,Innovation,appraisal
Engineer,Noida,,Quality Assurance and Testing Department,8 Mar 2018,4.0,4.0,5.0,4.0,5.0,4.0,4.0,Technical knowledge and technology usage.,Nothing
Product Quality Engineer,Kochi,,,6 Aug 2018,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,
Process Quality Control Engineer,Chennai,,,0 Jun 2018,5.0,3.0,5.0,4.0,4.0,4.0,4.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
Assistant Manager Production,Noida,Full Time,"Operations, Maintenance & Support Department",6 May 2018,3.0,1.0,3.0,5.0,5.0,2.0,4.0,job security,work-life balance
Regional Sales Officer,Gurgaon,Full Time,Mobile Department,1 Jul 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good,Good
Apprentice,Delhi,,SCM & Logistics Department,7 Mar 2018,4.0,4.0,4.0,4.0,4.0,5.0,4.0,"It is a good company. I am very happy, do work in Samsung.",In the night work.
Assistant Manager,Noida,,Engineering Department,4 Aug 2018,3.0,1.0,2.0,5.0,5.0,4.0,5.0,Ok,Koreans are too much controls Indian HODs.
Manager - Ehs,Noida,,Community Health & Safety Department,3 Apr 2018,5.0,1.0,2.0,5.0,5.0,4.0,5.0,Good brand. Amazing people,Slow progress of employees. Not employee friendly. Different payrolls
Quality Engineer,Gurgaon,,Production & Manufacturing Department,8 Oct 2018,4.0,4.0,4.0,4.0,4.0,3.0,3.0,Good,No
Senior Executive,Gurgaon,,Strategic Management Department,9 Jan 2018,5.0,5.0,4.0,4.0,3.0,5.0,3.0,Awesome for work,Dream company for everone
Sfa,,,Banking Operations Department,5 Jan 2019,5.0,5.0,4.0,4.0,3.0,5.0,3.0,Pay scale is excellent. Excellent  reimbursement related to travel and perks policy . However more emphasis on system driven .,
Area Service Manager,Pune,,After Sales Service & Repair Department,9 Feb 2019,5.0,5.0,3.0,3.0,1.0,2.0,3.0,,
Assistant Manager Accounts,,,Accounting & Taxation Department,2 Jan 2019,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,3.0,3.0,5.0,3.0,4.0,4.0,,
System Administrator And Service Engineer,Jalgaon,Full Time,Customer Service Department,2 Feb 2018,5.0,4.0,4.0,4.0,5.0,4.0,3.0,Samsung has a complete focus on day by day training.,Nothing like Dislike but only promotion is not quick
Area Business Manager,West Zone,,BD / Pre Sales Department,3 Aug 2018,1.0,1.0,3.0,5.0,1.0,2.0,1.0,Salary Structure,No Job Security
BA,Forbesganj,,Marketing Department,7 May 2018,4.0,4.0,3.0,3.0,4.0,3.0,3.0,Good working day,Seven years
Assistant Manager,Noida,,Import & Export Department,7 Aug 2018,5.0,4.0,4.0,4.0,4.0,3.0,3.0,Lot of learning checks with seniors on the same floor.,Transportation
LTE EPC Consultant,,,IT Support Department,8 Mar 2019,5.0,4.0,4.0,4.0,4.0,3.0,3.0,Work life and balance is good in this company. Good learning and working experience. Good compensation and Benefits. opportunity for carrier growth.,Good products but only Price is little High
Chief Engineer,,,Software Development Department,1 Feb 2019,4.0,5.0,5.0,5.0,5.0,5.0,5.0,Nothing,Everyhing
Senior Customer Service Executive,Gurgaon,,,3 Mar 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Business Innovations.,Work Culture in (Maharashtra) only.
Regional Sales Officer,Ahmedabad,,Printing Department,5 Mar 2019,4.0,4.0,3.0,3.0,3.0,3.0,3.0,,
Chief Engineer,Noida,,Software Development Department,8 Jul 2018,3.0,3.0,3.0,3.0,3.0,3.0,5.0,,
Redistribution Sales Officer,Aurangabad,,Sales Department,9 Mar 2018,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,
,,,,,,5.0,3.0,4.0,4.0,4.0,3.0,,
,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,,
,,,,,,5.0,1.0,1.0,1.0,1.0,,,
Manager Sales,Mumbai,Full Time,Enterprise & B2B Sales Department,8 Mar 2018,4.0,2.0,4.0,5.0,2.0,2.0,3.0,Compensation and Brand respect,Work culture and work life balance
Rso,Gurgaon,,Marketing Department,0 Oct 2018,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Nice,Nice
Retail Store Manager,Meeeut,,BD / Pre Sales Department,5 Jul 2018,5.0,5.0,5.0,5.0,5.0,5.0,1.0,Comp and benefits,Uncertainty
Regional Retail And Marketing Head - South And East India,Kolkata,,Operations Department,9 Mar 2018,4.0,4.0,4.0,3.0,2.0,4.0,5.0,"One of the best employer, excellent ethics & compliance, best compensation & benefits for employees, company culture is very good. Work for employee satisfaction.",everything is superb for me during my tenure.
BSA Delhi Branch,Delhi NCR,,CS Department,6 Aug 2018,5.0,4.0,2.0,5.0,1.0,2.0,2.0,Excellent,Excellent
Samsung Product Consultant,Gurgaon,,Marketing Department,8 Sep 2018,5.0,5.0,5.0,5.0,4.0,5.0,4.0,Excellent Atmosphere to Work,Nothing
Store Incharge,Jammu & Kashmir,,SCM & Logistics Department,2 May 2018,5.0,5.0,5.0,5.0,3.0,5.0,2.0,mast fadu,mast
Area Manager,Pondicherry,,Technology / IT Department,7 Feb 2018,5.0,5.0,5.0,5.0,3.0,5.0,2.0,Work life,
Computer Operator,,,,8 Apr 2019,5.0,5.0,5.0,4.0,5.0,5.0,4.0,,
Senior Executive,Gurgaon,,,7 Mar 2018,5.0,5.0,5.0,4.0,5.0,4.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,
Mumbai,Navi Mumbai,Full Time,Electronic  Department,3 Oct 2018,3.0,3.0,3.0,3.0,3.0,2.0,5.0,future grouth,Innovation
"Senior Manager ( Corporate Sales,Hospitality And Canteen Service Dept.)",Chandigarh,,B2B Department,2 May 2018,5.0,5.0,3.0,5.0,3.0,5.0,3.0,Policy,"Salary is good for beginners comparatively but on becoming lead engineer it becomes same as of any other company.
If you like travelling, this company provides a lot of opportunities to travel throughout the globe."
Lead Engineer,,,Software Development Department,2 Sep 2017,2.0,3.0,3.0,3.0,2.0,1.0,4.0,Samsung Noida is a commercialisation centre. The work requirement here doesn't really needs a software engineer. You just need  to fix bugs in a alrea,Facilities and Free Hand to work.
Lead Engineer,Noida,,Software Development Department,5 Jul 2018,3.0,4.0,2.0,3.0,3.0,2.0,4.0,Internal Politics,Everything.
National Manager - Network Business,Pune,,Network Businesd Department,4 Feb 2020,5.0,4.0,2.0,3.0,3.0,2.0,3.0,Nothing.,good
Assistant Manager-quality Mgmt,Noida,,Quality Department,5 Mar 2018,5.0,4.0,2.0,3.0,3.0,3.0,5.0,ok,Not at all like to work
Engineer,Noida,,production Department,9 Jan 2018,2.0,5.0,5.0,5.0,5.0,5.0,1.0,Culture,Work envirinment is good
Procurement Executive,Chennai,,Procurement & Purchase Department,1 Mar 2018,2.0,3.0,3.0,2.0,3.0,2.0,2.0,Food is not good,
Qc Technician,Meerut,,Quilt visit Department,1 Jul 2018,4.0,2.0,3.0,1.0,1.0,1.0,4.0,,
Manufacturing Engineer,Chennai,,,8 Jul 2018,5.0,5.0,4.0,5.0,3.0,4.0,4.0,,
,,,,,,4.0,5.0,3.0,5.0,4.0,5.0,,
,,,,,,5.0,5.0,5.0,,,,,
Fos,Silchar,,Home Applaince Department,1 Aug 2018,4.0,3.0,4.0,4.0,3.0,4.0,3.0,Yes i Do,nothing
Deputy Area Manager,Guwahati,,Technology / IT Department,3 Sep 2018,4.0,3.0,4.0,4.0,4.0,3.0,4.0,"Training, Career Growth and Appraisal",Work-life Balance
Assistant Manager,Mumbai,,Network Department,2 Apr 2018,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Growth technology,Nothing
Rf Engineer,Navi Mumbai,,Telecom Department,3 Nov 2018,5.0,5.0,5.0,4.0,5.0,5.0,4.0,RF engineer Mumbai,English
Apprentice,,,,7 Oct 2018,5.0,4.0,5.0,4.0,5.0,5.0,5.0,"Amazing work environment, teammates are supportive.",Salary is decent but career growth is slow. Sometimes lot of politics took place.
Customer Care Executive,New Delhi,,Customer Care Department,8 Apr 2022,5.0,4.0,5.0,4.0,5.0,5.0,5.0,Work place,Nothing
Galaxy Consultant,Gurgaon,,,6 Dec 2017,5.0,5.0,5.0,4.0,5.0,5.0,4.0,"A system, culture and environmental is very good.",Tour policy is bad for offroll employee
Project Engineer Hvac,Jaipur,,Sales Support & Operations Department,0 May 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good experiance,Not given the car for market visit for off roll person ...
Regional Sellout Manager,Gurgaon,,Sales Department,7 Jul 2018,4.0,3.0,5.0,3.0,1.0,4.0,3.0,,
Area Service Manager,Jaipur,,"Operations, Maintenance & Support Department",0 Aug 2018,5.0,3.0,4.0,5.0,4.0,4.0,3.0,,
,,,,,,3.0,4.0,5.0,4.0,4.0,3.0,,
,,,,,,5.0,5.0,5.0,4.0,4.0,3.0,,
Enodeb Engineer.,Asansol,Full Time,Construction Engineering Department,6 Mar 2018,4.0,4.0,2.0,3.0,1.0,4.0,3.0,work load,job security
Spc,Siliguri,,Marketing Department,6 Jan 2018,4.0,3.0,5.0,5.0,5.0,5.0,3.0,Work calture and payment on time.,Promotion is not available.
2013,Salem,,Financial  Department,6 Mar 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good,Good
Q-Up Engineer,HUBLI,,SERVICE Department,4 Aug 2017,5.0,4.0,5.0,5.0,4.0,4.0,5.0,"Good Process Oriented,Support for new idea Implementation , Friendly Nature, Easy to learn",I not noticed anything like that
Regional Sales Officer,Suray,,Sales  Department,6 May 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Good,Good
Av Engineer,Hyderabad,,"Operations, Maintenance & Support Department",3 Mar 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Face daily new challenges and learn how to take risk day by day,Not have  promotion option still you are work same post when ever contineoue job.Less encreament poor job profile and no option to work another campany same post.
W/h Inspector,Raipur,,,8 Aug 2017,2.0,4.0,5.0,3.0,3.0,5.0,3.0,Work culture like that,No job security and rating issue is poor way in samsung india
Store Executive,Indore,,,5 May 2018,3.0,2.0,5.0,1.0,1.0,5.0,1.0,Teammates & Salary Part is Good.,"~ Company Culture , Indian are not treated well on middle & higher  management. Korean always understand that Indians are there slaves"
Assistant Manager,Noida,,,2 Sep 2017,5.0,3.0,5.0,3.0,2.0,4.0,2.0,,
Senior Manager,Greater Noida,,Operations Department,2 Mar 2019,3.0,3.0,5.0,3.0,2.0,4.0,2.0,,
,,,,,,3.0,3.0,3.0,2.0,3.0,3.0,,
,,,,,,2.0,4.0,5.0,1.0,2.0,3.0,,
Warehouse Manager,Patna,,,6 Mar 2018,3.0,3.0,3.0,3.0,2.0,2.0,2.0,"Big role, job security","Work life balance,  highly bureaucratic work culture, no trust among employees,  too tight control by Korean management"
Head Facilities And Administration,,,Administration Department,0 Sep 2018,4.0,3.0,3.0,3.0,2.0,2.0,2.0,I also like the employee re-hire policy here.,Sometimes the work pressure is very high
Senior Executive,Varanasi,,,0 Aug 2017,5.0,2.0,3.0,4.0,4.0,3.0,4.0,"less career growth, fake training session",politics
Process And Quality Control Engineer In Mobile Manufacturing Plant In Noida,Noida,,quality Department,4 Oct 2017,1.0,5.0,5.0,5.0,5.0,5.0,5.0,Poor,Poor
Engineer,Delhi,,It Department,1 Jan 2018,2.0,1.0,1.0,4.0,4.0,1.0,1.0,"Payscale is excellent,  best in industry.",No Personal life from Mon to Sat
Manager,Pune,,,1 Jan 2021,5.0,2.0,2.0,2.0,2.0,1.0,2.0,Good opportunity and best organization,Counter part is very poor culture no support for Samsung's employee
Retail Sales Officer,Jabalpur Madhya Pradesh,,,3 Mar 2018,5.0,1.0,3.0,5.0,4.0,3.0,3.0,"Teammate was good, everything was good",Everything was good
Regional Training Coordinator South,Bangalore,,HR Operations Department,0 Mar 2018,5.0,3.0,5.0,3.0,2.0,3.0,3.0,,
Manager Quality Assurance,Chennai,,Production & Manufacturing Department,5 Mar 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
Packet Core Engineer,Navi Mumbai,,IT Network Department,3 Aug 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,4.0,4.0,4.0,5.0,4.0,5.0,,
,,,,,,4.0,4.0,4.0,5.0,4.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
Samsung Product Concerted,Aurangabad,,Marketing Department,6 May 2018,5.0,3.0,5.0,3.0,5.0,5.0,3.0,Innovation,Appraisal
Store Manager,New Delhi,,,8 Aug 2017,2.0,1.0,3.0,1.0,1.0,1.0,2.0,"Dealing with multiple parties (Vendors, VM Team, Distributor, etc)","Work Culture, Way too much Politics,Non-Supportive Superiors, etc"
Microwave Engineer,Agra,,,8 Aug 2017,3.0,3.0,3.0,3.0,3.0,3.0,3.0,I love because I love traveling,Reimbursements is not coming on time but I have to spend money. Every month times to time
Manager,Mumbai,,Technology / IT Department,2 Dec 2020,3.0,3.0,3.0,4.0,1.0,2.0,1.0,Nothing,Not a people oriented company
Route Training & SSS ( Samsung Sellout Supervisor),Raipur,,Sales Department,1 Aug 2018,5.0,5.0,5.0,5.0,3.0,4.0,2.0,All ok except few employees,There are zsm of chhattisgarh is very misbehaving person even foe all employees and also my ex boss mR. DINESH UPADHYAY is the main reason who promoted me 1st then himself demoted me
CHHATTISGARH,Raipur,,Chhattisgarh Department,1 Apr 2018,3.0,2.0,2.0,3.0,2.0,2.0,2.0,HI,HELO
Senior Site Engineer,Ranchi,,Construction Engineering Department,8 Sep 2017,4.0,2.0,2.0,3.0,2.0,2.0,2.0,"Systems & process, innovation, long term vision",Job security
Regional Distribution Manager,,,Retail & B2C Sales Department,5 May 2018,4.0,4.0,4.0,5.0,4.0,4.0,5.0,Working culture and environment,It''s a World''s No. 1 Brand where in Employees are high paid...
Maintenance Engineer,Chennai,,"Operations, Maintenance & Support Department",0 Sep 2017,4.0,4.0,4.0,5.0,3.0,4.0,3.0,"Lack of focus on Career growth, Job Rotation & Learning and Development",
Regional Sellout And Operations Manager,Bangalore,,Marketing Operations Department,5 Jan 2019,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,
,,,,,,2.0,2.0,5.0,4.0,3.0,3.0,,
Dealer Service Support Executive CS Samsung India Electronics Ltd,Chandigarh,,Customer Service  Department,4 Mar 2018,5.0,4.0,4.0,4.0,2.0,4.0,3.0,Work environment,Innovation
Associate Quality Engineer,Ahmedabad,,,4 Mar 2018,5.0,4.0,4.0,5.0,3.0,4.0,4.0,"Culture,  food and cab fac",Nothing
Electrical Technician,Delhi,,"Operations, Maintenance & Support Department",8 Mar 2018,1.0,4.0,4.0,5.0,3.0,4.0,4.0,Always growth in samsung service employe  and other.,No dislike
Administration Executive.,,,Administration Department,4 Mar 2018,4.0,5.0,5.0,5.0,5.0,4.0,4.0,Very good company,
Executive - Outbound Logistics,"Chennai, Tamil Nadu",,Logistics Department,0 Sep 2022,5.0,4.0,4.0,3.0,3.0,4.0,4.0,,
Sales Executive,,,Retail & B2C Sales Department,4 May 2018,5.0,4.0,4.0,3.0,3.0,5.0,5.0,,
Team  Leader,Delhi,,,8 Aug 2017,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,
Team Leader Customer Service,,,,4 Apr 2018,5.0,5.0,5.0,4.0,4.0,4.0,5.0,,
Q-Up Engineer,Calicut,,Hardware Department,5 Dec 2017,5.0,5.0,5.0,4.0,4.0,4.0,3.0,,
Dealer Support Executive,Jodhpur,,,1 Feb 2019,5.0,4.0,4.0,4.0,4.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,4.0,5.0,4.0,4.0,5.0,5.0,,
,,,,,,4.0,5.0,4.0,4.0,4.0,4.0,,
,,,,,,4.0,4.0,4.0,4.0,,,,
Senior Executive,Noida,Full Time,SCM & Logistics Department,0 Feb 2018,1.0,1.0,2.0,3.0,1.0,1.0,1.0,Salary,"Politics,no work life balence,worst environment having dominated by Koreans,no job security"
Sales  Officer,Bareilly,,Enterprise & B2B Sales Department,8 Aug 2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Great place to work brand power is great.,ND influence is highe
DMS & GMCS Operator,,,,0 May 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Highly Paid,Culture And People
Area Business Manager,Amravati,,BD / Pre Sales Department,6 Oct 2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No job security even in such a pandemic situation.,Despite of so many billions company they don't bother about their employees even in pandemic situation where everyone desperately sicking help..
Sales Executive/officer,,,,4 Aug 2018,2.0,4.0,3.0,5.0,5.0,5.0,2.0,Teammates was good,Internal politics
Regional Sellout And Marketing Manager,Bangalore,,Marketing Department,8 Aug 2018,4.0,2.0,1.0,3.0,5.0,1.0,1.0,,
Project Manager,Chandigarh,,IT Support Department,8 May 2021,1.0,2.0,1.0,3.0,5.0,1.0,1.0,,
Circle Vendor/Solpar Manager,Meerut,,Commercial Department,1 Sep 2017,4.0,3.0,3.0,4.0,3.0,3.0,3.0,,
Supervisor Supply Chain Management,Jaipur,,,1 Sep 2017,5.0,2.0,2.0,2.0,1.0,2.0,1.0,,
Junior Engineer Electronics,,,"Operations, Maintenance & Support Department",5 Apr 2019,4.0,1.0,3.0,3.0,3.0,4.0,3.0,,
,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,,
,,,,,,1.0,4.0,3.0,1.0,1.0,1.0,,
,,,,,,3.0,4.0,4.0,4.0,4.0,3.0,,
,,,,,,3.0,4.0,4.0,4.0,4.0,3.0,,
Team Leader,,Full Time,BD / Pre Sales Department,9 Jan 2018,5.0,5.0,5.0,4.0,4.0,5.0,4.0,Nothing,Almost all are good
Sales Pramoter,Ballia,,Retail & B2C Sales Department,8 Aug 2017,4.0,5.0,5.0,4.0,4.0,5.0,4.0,Nothing,👍👍👍
Dealer Support Executive,Jodhpur,,,0 May 2018,5.0,4.0,4.0,4.0,4.0,4.0,4.0,😭😭😭,Huge space to learn and explore your self
SENIOR EXECUTIVE(SAMSUNG SITE ENGINEER),,,Telecom Department,6 Feb 2018,3.0,4.0,4.0,4.0,4.0,4.0,4.0,Not equally treated between offrole and On role employees.,
Engineer,,,Software Development Department,4 Dec 2017,1.0,4.0,4.0,4.0,4.0,4.0,4.0,,
Regional Trainer At Samsung Mobile,Kolkata,,Voice / Blended Department,1 Dec 2018,5.0,3.0,3.0,4.0,1.0,2.0,2.0,,
Lead Engineer,Noida,,Software Development Department,6 Feb 2019,3.0,3.0,3.0,4.0,1.0,2.0,2.0,,
Qa Engineer,Noida,,Production & Manufacturing Department,8 Sep 2018,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,
Data Entry Operator,Nabarangapur,,Bhubaneswar Department,0 May 2019,3.0,5.0,5.0,5.0,5.0,5.0,3.0,,
Area Service Manager,Hubli-Dharwad,,,0 May 2019,4.0,5.0,3.0,3.0,4.0,4.0,4.0,,
,,,,,,5.0,3.0,3.0,4.0,4.0,4.0,,
,,,,,,2.0,2.0,3.0,5.0,2.0,3.0,,
,,,,,,2.0,2.0,3.0,5.0,2.0,3.0,,
,,,,,,4.0,5.0,3.0,1.0,4.0,3.0,,
,,,,,,3.0,5.0,3.0,3.0,3.0,4.0,,
Lead Engineer Qa,Noida,Full Time,Software Development Department,9 Dec 2018,4.0,4.0,3.0,3.0,1.0,2.0,4.0,good teammates travel to korea and good work life balance,huge politics in upper management redundant work
Production Engineer,Chennai,Full Time,Management Department,0 Feb 2023,4.0,2.0,3.0,4.0,3.0,2.0,3.0,Food and transport is good,Strict timings and some of the people are not good.and work life balance is very bad
Area Servicemanager,Nashik,,"Operations, Maintenance & Support Department",9 Sep 2018,4.0,3.0,4.0,5.0,4.0,3.0,4.0,Process well defined,Overloaded with work
Area Sales Manager,,,BD / Pre Sales Department,4 Apr 2018,3.0,1.0,1.0,4.0,3.0,3.0,3.0,Improve to the skills and knowledge and behaviour thanks for everything because may next jobs very helpful your suggestion,Not
Accounts Manager,Patna,,,8 Aug 2017,1.0,1.0,1.0,4.0,3.0,3.0,3.0,"Working environment, career growth, salary appraisal all things",Nothing
Assistant Manager Service Delivery,,,Operations Department,2 Nov 2019,5.0,1.0,1.0,4.0,5.0,5.0,4.0,Time management is good.,Lunch time was less
Sr. Rf Engineer,,,IT Network Department,0 Sep 2017,5.0,4.0,4.0,4.0,5.0,5.0,4.0,,
Apprentice,Noida Sector 82,,,3 Dec 2022,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,
Area Sales Executive,Gaya,,Retail & B2C Sales Department,4 Mar 2018,5.0,3.0,4.0,4.0,5.0,4.0,3.0,,
Assembly Technician,Noida,,,3 Nov 2021,5.0,3.0,4.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,
,,,,,,5.0,5.0,,,,,,
Sales Executive,Bangalore,Full Time,BD / Pre Sales Department,1 Dec 2018,5.0,4.0,5.0,3.0,4.0,4.0,5.0,"Excellent experience for learning new things 
Every months training of new products.
Best platform to represent ur self in an product launching","There is too much partiality in upper designations.
Working for more than 5 years also they are not giving any opportunity for next level"
Good Job,Shikohabad,,Marketing Department,7 Jun 2019,3.0,3.0,3.0,3.0,3.0,3.0,3.0,As a choice,Dipend your work
Senior Hardware,Ranchi,,IT Network Department,7 Sep 2017,4.0,5.0,5.0,3.0,3.0,5.0,4.0,wonderful experience with samsung.,No comment
General Manager- Hr,Ggn,,HR Operations Department,6 May 2022,3.0,3.0,3.0,4.0,3.0,1.0,1.0,Money only money.,Beaurocracy that beats GOI and SBI together. Forensic audit constantly sniffing every action. You feel like Indian soldier in East India Company
Back Officer,Bhilai Nagar,,Back Office Department,4 Jun 2019,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing spacial,nothing spacial
Electrical Technician,Noida,,Kitting  Department,5 Jul 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes .I am very happy of this company,No thanks
Lsmr Engineer,Mumbai,,,2 Mar 2019,4.0,4.0,5.0,4.0,4.0,4.0,5.0,A Good working culture and experience  happy Time while doing work with team mates.,Work on holiday.
Project Engineer,Pune,,,1 Oct 2018,5.0,3.0,4.0,3.0,2.0,4.0,3.0,Work,No Job Security
Associate Quality Analyst,,,IT Network Department,1 Jul 2019,5.0,5.0,5.0,5.0,4.0,4.0,5.0,Over All good,good
Senior Software Engineer,Noida,,Software Development Department,0 Feb 2019,1.0,5.0,1.0,1.0,1.0,1.0,1.0,Work-Life Balance,Company Culture - Extremely politics oriented with no vision and future planning.
Team Leader,Mumbai,Full Time,HA Department,1 Oct 2018,5.0,4.0,5.0,4.0,3.0,4.0,5.0,GOOD,Good
Circle Head,Dehradun,,Technology / IT Department,3 Oct 2021,5.0,5.0,5.0,5.0,3.0,5.0,5.0,Career growth,Job security
Sse Samsung,Nagpur,,Da Department,0 Sep 2018,5.0,4.0,5.0,5.0,5.0,4.0,5.0,great work-life balance,Working from office. Strict timing from 9.30 to 6.30pm.
Software Developer,"Noida, Uttar Pradesh",,Software Development Department,5 Sep 2022,5.0,4.0,5.0,5.0,5.0,4.0,5.0,Work environment,Like career growth
Construction Manager,Noida,,,0 Nov 2018,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Goog,No
Logistics Executive,Noida,,SCM & Logistics Department,8 Aug 2017,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good salary perks and great brand value,poor work life balance and bad culture
Warehouse Manager,"Hyderabad, Kompally",,SCM & Logistics Department,4 Jan 2019,5.0,4.0,4.0,5.0,4.0,5.0,5.0,perks and benifit,job security
