Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Assistant Manager,Noida,Full Time,Retail & B2C Sales Department,4 Aug 2023,4.0,3.0,4.0,5.0,3.0,3.0,4.0,Too early to say,Too early to say
Software Development Engineer,"Chennai, Tamil Nadu",Full Time,Software Development Department,6 Jul 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"NA
NA
NA
NA
NA","NA
Na
Na
Na
Na"
Computer Operator Vendor Managment,"Noida, Uttar Pradesh",Full Time,HR Operations Department,4 Jul 2023,5.0,5.0,4.0,5.0,2.0,4.0,5.0,Okay not bad,Not a job security
Warehouse Associate,Gurgaon/Gurugram,Contractual,SCM & Logistics Department,7 Jun 2023,5.0,5.0,3.0,5.0,5.0,4.0,5.0,Overall good,Learning and development
Software Engineer,"Noida, Uttar Pradesh",Full Time,Software Development Department,4 Aug 2022,3.0,4.0,1.0,3.0,5.0,2.0,2.0,"Being an MnC, the Job Security is pretty good. Depending on the team learning and wok culture could also be good. Compensation is okay at best, but perks are good like office transportation, lunch etc.","Mostly focuses on issue solving and hence not much to learn in most of the cases, focuses on mobile side development only. Management could be much better. Learning culture is not present. Attendance system present which means minimum 45 hrs necessary in a week."
Senior Manager,Noida,Full Time,Management Department,1 Jul 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Brand value,5.5 working days
Sales Executive,Chhutmalpur,Full Time,Enterprise & B2B Sales Department,0 Oct 2022,4.0,2.0,2.0,3.0,5.0,5.0,1.0,"My likes goes to my Seniors, they are well groomed and they don't creates unnecessary stress.","Their are no appraisal for year to years, no promotion for existing employees. They can hire from outside but they can't promote their existing employees even if they have all knowledge which they required."
Retail Sales Officer,"Maldah/Malda, West Bengal",Full Time,Retail & B2C Sales Department,1 May 2023,5.0,4.0,5.0,5.0,5.0,4.0,4.0,New Ideas for market,Management's wrong pressure
Operator,Bhilwara Rajasthan,Full Time,Engineering Department,1 Jul 2023,5.0,5.0,4.0,4.0,2.0,3.0,5.0,Electrical job,No problem sir job
Apprentice Training   (working remotely),,,"Operations, Maintenance & Support Department",1 May 2023,5.0,4.0,5.0,5.0,5.0,5.0,5.0,Best company Samsung,No dislikes
Manager,"Noida, Uttar Pradesh",Full Time,Engineering Department,3 Jan 2023,4.0,5.0,4.0,5.0,4.0,3.0,4.0,"Company is overall good. But management is not so good. 
Management behavior depend on person to person.",No OT.  No currect evalution of employee. No solid HR policy.
Supervisor,"Kolkata, West Bengal",Full Time,Back Office Department,8 Apr 2023,2.0,1.0,1.0,1.0,2.0,1.0,1.0,I love company,I don't like management
Senior Associate,"Chennai, Tamil Nadu",Full Time,Stores & Material Management Department,0 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Multi national company,Nothing  no dislikes
Branch Manager,"Raipur, Chhattisgarh",Full Time,Sales Support & Operations Department,8 Mar 2023,5.0,1.0,1.0,5.0,1.0,3.0,3.0,"Samsung has very Innovative product, for consumers Brand.",Work life balance is not there.
Senior Manager,Gurgaon/Gurugram,Full Time,Strategic Management Department,5 Apr 2023,4.0,4.0,3.0,4.0,3.0,3.0,3.0,"Brand value, location & projects","Politics, processes & culture."
Sales Executive,"Agra, Uttar Pradesh",Full Time,Retail & B2C Sales Department,1 Feb 2023,4.0,2.0,5.0,2.0,1.0,1.0,1.0,Samsung company is gud,But staff is bad talking at this time before 2 year in samsung overall staff is gud
Area Business Manager,"Hyderabad/Secunderabad, Telangana",Full Time,Retail & B2C Sales Department,2 Jul 2023,4.0,3.0,2.0,4.0,1.0,1.0,2.0,Company was good. Other,Others others other
Customer Executive,"Bengaluru/Bangalore, Karnataka",Full Time,Non Voice Department,4 Jun 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Veda televentures horamavu bangalore Vivek lis devil...not given salary,No salary for three months
Sales Executive,"Katwa, West Bengal",Full Time,Retail Store Operations Department,7 Mar 2023,4.0,3.0,4.0,3.0,2.0,3.0,2.0,Skills and product knowledge develop,Job security and incriminate
Team Manager,Noida,Full Time,Procurement & Purchase Department,3 Dec 2022,4.0,5.0,3.0,3.0,5.0,4.0,3.0,Work Life Balance and Culture along with Job security.,Poor Appraisals since last 3 years. Below average salary in comparison to other Top MNC
Apprentice,"Noida, Uttar Pradesh",Full Time,Management Department,8 Mar 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"I liked it, I completed my training as an apprentice in Samsung, and I liked working there.",No
Inventory Controller,"Ujjain, Madhya Pradesh",Full Time,,2 Jan 2023,4.0,4.0,3.0,2.0,4.0,5.0,3.0,Dealing with various customers and resolve there problems,"Non progressive, low salary, working duration, working days and lost of non productive processes"
Sales Executive,"Gurgaon/Gurugram, Haryana",Full Time,Retail Store Operations Department,1 May 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Very supportive staff and seniors,Everything is good
